2026-02-23 15:42:04,287 | BinanceClient | INFO | REQUEST: POST https://testnet.binancefuture.com/fapi/v1/order?symbol=BTCUSDT&side=BUY&type=MARKET&quantity=0.002&timestamp=1771841524286&recvWindow=5000&signature=b6a4f3c57a3915d9d883acb842fc1d1fc32b1a7035f0b0e08947b6d9bf9757bf
2026-02-23 15:42:05,045 | BinanceClient | INFO | RESPONSE: {"orderId":12489178872,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"ytfrDtckAwsDyZM1lJaGeP","price":"0.00","avgPrice":"0.00","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1771841525156}
2026-02-23 15:42:12,720 | BinanceClient | INFO | REQUEST: POST https://testnet.binancefuture.com/fapi/v1/order?symbol=BTCUSDT&side=SELL&type=LIMIT&quantity=0.002&price=70000.0&timeInForce=GTC&timestamp=1771841532720&recvWindow=5000&signature=d04d8ef9b57d2c4e0bd8a47406681acafcb0995a9ceda35197a41f1be0a8a87c
2026-02-23 15:42:13,606 | BinanceClient | INFO | RESPONSE: {"orderId":12489179984,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"2hym9H7aEsPNVspB723IHg","price":"70000.00","avgPrice":"0.00","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1771841533743}
2026-02-23 15:43:02,337 | BinanceClient | INFO | REQUEST: POST https://testnet.binancefuture.com/fapi/v1/order?symbol=BTCUSDT&side=SELL&type=LIMIT&quantity=0.002&price=70000.0&timeInForce=GTC&timestamp=1771841582337&recvWindow=5000&signature=917dbbb515efbc37818c785f8d8cd21fde2db007669ead0f3e00728357008e24
2026-02-23 15:43:03,154 | BinanceClient | INFO | RESPONSE: {"orderId":12489198450,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"nGI4TCVZTy4r83wF2xAjuK","price":"70000.00","avgPrice":"0.00","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1771841583309}
2026-02-23 15:43:18,035 | BinanceClient | INFO | REQUEST: POST https://testnet.binancefuture.com/fapi/v1/order?symbol=BTCUSDT&side=SELL&type=LIMIT&quantity=0.002&price=70000.0&timeInForce=GTC&timestamp=1771841598035&recvWindow=5000&signature=ea5851a20fc481554361fea3911e594916de99b64da14c7954cf5cd92651e76e
2026-02-23 15:43:18,904 | BinanceClient | INFO | RESPONSE: {"orderId":12489201573,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"unJQ3MqaPkEQkcL9Hxp5CE","price":"70000.00","avgPrice":"0.00","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1771841599067}
2026-02-23 15:44:10,266 | BinanceClient | INFO | REQUEST: POST https://testnet.binancefuture.com/fapi/v1/order?symbol=BTCUSDT&side=SELL&type=LIMIT&quantity=0.002&price=70000.0&timeInForce=GTC&timestamp=1771841650266&recvWindow=5000&signature=ec3a6069397af7af71832958a3f19d4d74b30776a643471f0b5f8cfa2628f6a3
2026-02-23 15:44:11,159 | BinanceClient | INFO | RESPONSE: {"orderId":12489217874,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"d8pCbTfvlWUxu1EbbWH56H","price":"70000.00","avgPrice":"0.00","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1771841651107}
2026-02-23 15:55:25,594 | BinanceClient | INFO | REQUEST: POST https://testnet.binancefuture.com/fapi/v1/order?symbol=BTCUSDT&side=SELL&type=LIMIT&quantity=0.002&price=70000.0&timeInForce=GTC&timestamp=1771842325594&recvWindow=5000&signature=f58246aa86c7b9e3d63b5dd433f301193eea46424381f9122e52f84a0474b76b
2026-02-23 15:55:26,282 | BinanceClient | INFO | RESPONSE: {"orderId":12489428277,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"odkIrjMiCybVSu8HYUklim","price":"70000.00","avgPrice":"0.00","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1771842326408}
